Date,PM2.5,BC,Angstrom
01/03/2021,21,1849,1.25
02/03/2021,12,699,1.29
03/03/2021,12,718,1.23
04/03/2021,28,2905,1.15
05/03/2021,14,1610,1.22
06/03/2021,18,2338,1.21
07/03/2021,7,359,1.21
08/03/2021,11,711,1.20
09/03/2021,13,931,1.17
10/03/2021,15,876,1.18
11/03/2021,28,2293,1.20
12/03/2021,31,2536,1.21
13/03/2021,13,710,1.25
14/03/2021,18,999,1.22
15/03/2021,30,2146,1.21
16/03/2021,28,2435,1.22
17/03/2021,30,2627,1.17
18/03/2021,25,2557,1.14
19/03/2021,32,2997,1.17
20/03/2021,26,2651,1.20
21/03/2021,19,767,1.25
22/03/2021,23,1145,1.27
23/03/2021,11,859,1.19
24/03/2021,19,1309,1.19
25/03/2021,20,1346,1.21
26/03/2021,16,1444,1.18
27/03/2021,30,2818,1.23
28/03/2021,26,2657,1.22
29/03/2021,41,3742,1.14
30/03/2021,32,3192,1.20
31/03/2021,24,2453,1.15
01/04/2021,27,3030,1.21
02/04/2021,29,2700,1.21
03/04/2021,26,1540,1.15
04/04/2021,16,913,1.23
05/04/2021,14,707,1.22
06/04/2021,11,581,1.21
07/04/2021,9,637,1.19
08/04/2021,11,873,1.19
09/04/2021,12,847,1.16
10/04/2021,11,869,1.22
11/04/2021,15,999,1.23
12/04/2021,22,1750,1.22
13/04/2021,22,2083,1.23
14/04/2021,8,661,1.23
15/04/2021,5,658,1.20
16/04/2021,11,873,1.17
17/04/2021,19,1046,1.17
18/04/2021,32,970,1.31
19/04/2021,12,651,1.25
20/04/2021,15,522,1.27
21/04/2021,11,449,1.22
22/04/2021,6,572,1.18
23/04/2021,9,515,1.15
24/04/2021,9,527,1.20
25/04/2021,10,508,1.21
26/04/2021,10,569,1.24
27/04/2021,18,1372,1.20
28/04/2021,16,1529,1.16
29/04/2021,15,1379,1.21
30/04/2021,24,1882,1.22
01/05/2021,26,2263,1.26
02/05/2021,18,966,1.23
03/05/2021,10,718,1.22
04/05/2021,23,1934,1.22
05/05/2021,21,1325,1.24
06/05/2021,21,1395,1.20
07/05/2021,23,2117,1.20
08/05/2021,17,1073,1.15
09/05/2021,15,1078,1.21
10/05/2021,19,1266,1.21
11/05/2021,19,1695,1.21
12/05/2021,15,1293,1.22
13/05/2021,17,1637,1.16
14/05/2021,21,,
15/05/2021,17,1566,1.20
16/05/2021,15,1024,1.26
17/05/2021,14,957,1.23
18/05/2021,14,1063,1.18
19/05/2021,17,1304,1.19
20/05/2021,13,1106,1.21
21/05/2021,13,1198,1.19
22/05/2021,12,847,1.20
23/05/2021,15,702,1.21
24/05/2021,13,960,1.22
25/05/2021,9,638,1.18
26/05/2021,13,975,1.21
27/05/2021,9,735,1.22
28/05/2021,11,679,1.20
29/05/2021,11,916,1.14
30/05/2021,7,536,1.17
31/05/2021,7,879,1.17
01/06/2021,10,1321,1.19
02/06/2021,10,1071,1.19
03/06/2021,11,1005,1.22
04/06/2021,9,965,1.19
05/06/2021,,,
06/06/2021,4,,
07/06/2021,7,,
08/06/2021,11,1359,1.20
09/06/2021,12,1105,1.22
10/06/2021,10,988,1.22
11/06/2021,13,976,1.20
12/06/2021,15,1020,1.23
13/06/2021,10,610,1.30
14/06/2021,11,579,1.26
15/06/2021,8,587,1.19
16/06/2021,7,559,1.19
17/06/2021,,650,1.19
18/06/2021,,629,1.23
19/06/2021,,558,1.25
20/06/2021,,602,1.26
21/06/2021,,708,1.26
22/06/2021,10,853,1.22
23/06/2021,8,618,1.21
24/06/2021,10,1205,1.20
25/06/2021,11,991,1.19
26/06/2021,11,1130,1.17
27/06/2021,9,514,1.26
28/06/2021,6,449,1.24
29/06/2021,8,476,1.22
30/06/2021,11,687,1.23
01/07/2021,11,762,1.22
02/07/2021,12,867,1.20
03/07/2021,15,1309,1.23
04/07/2021,16,936,1.24
05/07/2021,6,429,1.23
06/07/2021,10,764,1.20
07/07/2021,16,1182,1.19
08/07/2021,15,1356,1.14
09/07/2021,12,1082,1.23
10/07/2021,13,948,1.25
11/07/2021,11,796,1.21
12/07/2021,13,948,1.18
13/07/2021,11,854,1.20
14/07/2021,8,737,1.20
15/07/2021,5,298,1.17
16/07/2021,6,448,1.18
17/07/2021,5,264,1.19
18/07/2021,6,205,1.26
19/07/2021,5,313,1.16
20/07/2021,7,,
21/07/2021,10,,
22/07/2021,7,,
23/07/2021,8,,
24/07/2021,6,,
25/07/2021,11,,
26/07/2021,13,1033,1.17
27/07/2021,15,1411,1.19
28/07/2021,,1695,1.21
29/07/2021,,2032,1.20
30/07/2021,13,1614,1.19
31/07/2021,11,1732,1.21
01/08/2021,10,1233,1.18
02/08/2021,13,1534,1.21
03/08/2021,15,1464,1.20
04/08/2021,9,1089,1.18
05/08/2021,10,1407,1.17
06/08/2021,11,2024,1.18
07/08/2021,6,676,1.17
08/08/2021,16,821,1.18
09/08/2021,15,1641,1.19
10/08/2021,12,1314,1.15
11/08/2021,13,1445,1.20
12/08/2021,12,1177,1.21
13/08/2021,13,1433,1.23
14/08/2021,11,1228,1.20
15/08/2021,12,1172,1.23
16/08/2021,13,1374,1.26
17/08/2021,12,1163,1.29
18/08/2021,9,1213,1.21
19/08/2021,13,1465,1.20
20/08/2021,14,1202,1.23
21/08/2021,16,1504,1.25
22/08/2021,16,1602,1.28
23/08/2021,13,1289,1.30
24/08/2021,16,2036,1.22
25/08/2021,14,1566,1.21
26/08/2021,11,883,1.18
27/08/2021,13,1178,1.18
28/08/2021,7,699,1.19
29/08/2021,4,268,1.23
30/08/2021,6,616,1.19
31/08/2021,9,725,1.17
01/09/2021,11,1410,1.16
02/09/2021,16,1560,1.19
03/09/2021,15,1253,1.18
04/09/2021,12,1267,1.17
05/09/2021,4,367,1.21
06/09/2021,9,1197,1.19
07/09/2021,10,1285,1.18
08/09/2021,10,945,1.18
09/09/2021,4,466,1.18
10/09/2021,5,392,1.19
11/09/2021,4,,
12/09/2021,5,,
13/09/2021,9,,
14/09/2021,10,927,1.17
15/09/2021,10,1147,1.15
16/09/2021,17,1795,1.20
17/09/2021,18,1732,1.20
18/09/2021,12,959,1.21
19/09/2021,17,1103,1.25
20/09/2021,18,1199,1.27
21/09/2021,16,1208,1.27
22/09/2021,12,1166,1.23
23/09/2021,8,881,1.19
24/09/2021,8,632,1.16
25/09/2021,16,871,1.19
26/09/2021,14,628,1.17
27/09/2021,9,548,1.15
28/09/2021,11,713,1.15
29/09/2021,14,1120,1.17
30/09/2021,14,1310,1.17
01/10/2021,18,1691,1.15
02/10/2021,12,802,1.15
03/10/2021,8,372,1.19
04/10/2021,8,374,1.18
05/10/2021,10,389,1.16
06/10/2021,6,409,1.18
07/10/2021,4,345,1.16
08/10/2021,6,355,1.15
09/10/2021,10,295,1.15
10/10/2021,6,202,1.13
11/10/2021,6,,
12/10/2021,7,,
13/10/2021,4,628,1.25
14/10/2021,4,642,1.20
15/10/2021,7,403,1.16
16/10/2021,7,306,1.13
17/10/2021,7,183,1.14
18/10/2021,7,506,1.15
19/10/2021,7,597,1.16
20/10/2021,7,803,1.20
21/10/2021,6,348,1.13
22/10/2021,7,603,1.18
23/10/2021,11,707,1.20
24/10/2021,6,344,1.21
25/10/2021,9,912,1.17
26/10/2021,8,603,1.16
27/10/2021,10,757,1.16
28/10/2021,12,848,1.18
29/10/2021,11,889,1.18
30/10/2021,11,994,1.20
31/10/2021,11,791,1.13
01/11/2021,11,642,1.18
02/11/2021,16,955,1.18
03/11/2021,16,937,1.21
04/11/2021,9,705,1.19
05/11/2021,21,2608,1.20
06/11/2021,22,1866,1.20
07/11/2021,9,487,1.20
08/11/2021,11,435,1.19
09/11/2021,14,620,1.25
10/11/2021,13,996,1.24
11/11/2021,12,886,1.24
12/11/2021,14,962,1.24
13/11/2021,8,462,1.24
14/11/2021,10,608,1.22
15/11/2021,10,682,1.21
16/11/2021,13,801,1.22
17/11/2021,14,887,1.23
18/11/2021,8,681,1.16
19/11/2021,11,1761,1.21
20/11/2021,15,939,1.22
21/11/2021,12,737,1.21
22/11/2021,9,513,1.24
23/11/2021,14,1098,1.24
24/11/2021,11,947,1.19
25/11/2021,8,810,1.20
26/11/2021,8,648,1.19
27/11/2021,11,786,1.22
28/11/2021,7,315,1.25
29/11/2021,4,367,1.17
30/11/2021,16,895,1.20
01/12/2021,19,864,1.26
02/12/2021,15,908,1.22
03/12/2021,15,1444,1.24
04/12/2021,17,1192,1.25
05/12/2021,7,432,1.21
06/12/2021,9,677,1.20
07/12/2021,9,372,1.15
08/12/2021,12,627,1.19
09/12/2021,11,709,1.21
10/12/2021,12,557,1.22
11/12/2021,9,587,1.17
12/12/2021,15,512,1.23
13/12/2021,11,707,1.22
14/12/2021,8,549,1.20
15/12/2021,11,889,1.20
16/12/2021,28,2375,1.19
17/12/2021,23,1105,1.27
18/12/2021,14,696,1.27
19/12/2021,9,402,1.20
20/12/2021,11,1171,1.21
21/12/2021,24,3416,1.20
22/12/2021,10,715,1.24
23/12/2021,20,2163,1.23
24/12/2021,16,1442,1.15
25/12/2021,13,689,1.26
26/12/2021,6,223,1.25
27/12/2021,9,605,1.23
28/12/2021,8,822,1.21
29/12/2021,15,1314,1.20
30/12/2021,26,1593,1.29
31/12/2021,15,762,1.29
01/01/2022,13,704,1.25
02/01/2022,14,835,1.21
03/01/2022,21,1566,1.25
04/01/2022,12,802,1.25
05/01/2022,17,1548,1.16
06/01/2022,11,797,1.24
07/01/2022,12,700,1.23
08/01/2022,12,579,1.22
09/01/2022,12,639,1.22
10/01/2022,10,694,1.19
11/01/2022,29,1272,1.24
12/01/2022,12,928,1.23
13/01/2022,32,1480,1.20
14/01/2022,20,939,1.25
15/01/2022,18,1411,1.24
16/01/2022,13,971,1.23
17/01/2022,6,793,1.23
18/01/2022,9,708,1.23
19/01/2022,9,587,1.22
20/01/2022,12,686,1.22
21/01/2022,10,673,1.21
22/01/2022,8,969,1.19
23/01/2022,12,979,1.16
24/01/2022,8,567,1.17
25/01/2022,12,804,1.19
26/01/2022,14,1190,1.19
27/01/2022,17,1338,1.18
28/01/2022,5,377,1.22
29/01/2022,6,273,1.22
30/01/2022,6,164,1.22
31/01/2022,11,927,1.24
01/02/2022,9,687,1.24
02/02/2022,5,294,1.19
03/02/2022,3,143,1.01
04/02/2022,6,165,1.13
05/02/2022,16,604,1.28
06/02/2022,12,540,1.25
07/02/2022,9,808,1.21
08/02/2022,10,931,1.10
09/02/2022,9,1017,1.20
10/02/2022,7,475,1.16
11/02/2022,17,1312,1.17
12/02/2022,13,742,1.23
13/02/2022,8,413,1.23
14/02/2022,12,593,1.21
15/02/2022,16,1280,1.23
16/02/2022,19,1263,1.18
17/02/2022,7,500,1.22
18/02/2022,5,607,1.18
19/02/2022,8,392,1.17
20/02/2022,10,340,1.29
21/02/2022,7,570,1.19
22/02/2022,4,472,1.18
23/02/2022,5,506,1.15
24/02/2022,9,626,1.18
25/02/2022,10,805,1.16
26/02/2022,16,1562,1.14
27/02/2022,18,1121,1.25
28/02/2022,23,1734,1.26
